"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"d:\my-project\src\components\Card.jsx", "JavaScript JSX", 3, 0, 0, 3
"d:\my-project\src\components\Footer.jsx", "JavaScript JSX", 106, 0, 3, 109
"d:\my-project\src\components\Header.jsx", "JavaScript JSX", 333, 2, 18, 353
"d:\my-project\src\components\Layout.jsx", "JavaScript JSX", 20, 0, 1, 21
"d:\my-project\src\components\OurAchievements.jsx", "JavaScript JSX", 55, 0, 1, 56
"d:\my-project\src\components\ServiceCards.jsx", "JavaScript JSX", 68, 0, 1, 69
"d:\my-project\src\components\ServicesOverview.jsx", "JavaScript JSX", 176, 0, 2, 178
"d:\my-project\src\components\SlidingLogos.jsx", "JavaScript JSX", 88, 3, 9, 100
"d:\my-project\src\components\SuccessStories.jsx", "JavaScript JSX", 71, 0, 1, 72
"Total", "-", 920, 5, 36, 961
